window_id,window_start,packet_count,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,total_orig_bytes,total_resp_bytes,proto_tcp,proto_udp,proto_icmp,low_port_ratio
1,1775878304,6,3,6,6,877.4788,174809,120315,1,4,1,0.5
2,1775878334,12,1,6,3,28.8645,15339,2810,0,12,0,0.0833
3,1775878364,12,2,6,5,42.4503,6730,4291,5,7,0,0.9167
4,1775878394,4,2,3,3,42.8244,3125,3270,1,3,0,1.0
5,1775878424,2,2,2,2,0.0438,106,274,0,2,0,1.0
6,1775878454,4,1,4,2,0.0059,814,48,0,4,0,0.25
7,1775878484,1,1,1,1,0.0223,48,48,0,1,0,1.0
8,1775878514,4,1,4,2,93.973,3797,5259,0,4,0,0.25
9,1775878544,3,1,3,3,2.5922,60,48,0,3,0,0.3333
10,1775878574,9,1,5,2,26.7417,10858,1422,0,9,0,0.0
11,1775878604,2,1,2,2,0.029,48,48,0,2,0,0.5
12,1775878634,4,1,4,3,0.0085,814,48,0,4,0,0.25
13,1775878664,21,2,9,5,0.2493,14850,25803,10,11,0,0.9524
14,1775878694,4,1,4,3,0.0124,48,48,0,4,0,0.25
15,1775878724,3,2,3,3,0.0312,106,274,0,3,0,0.6667
16,1775878754,8,2,6,5,28.9452,5798,1557,1,7,0,0.625
17,1775878784,10,1,6,3,63.6429,23087,3562,0,10,0,0.1
18,1775878814,1,1,1,1,0.0272,48,48,0,1,0,1.0
19,1775878844,1457,1,4,1456,0.0248,60,48,1454,3,0,0.0995
20,1775878874,1522,1,5,1520,0.2681,2757,4477,1518,4,0,0.1117
21,1775878904,1539,2,3,1539,0.0775,48,48,1537,2,0,0.1092
22,1775878934,1742,4,9,1738,0.0986,906,348,1733,8,1,0.1016
23,1775878964,1691,2,6,1691,0.0621,221,305,1688,3,0,0.1088
24,1775878994,1643,2,6,1641,0.2947,4274,13127,1638,5,0,0.0956
25,1775879024,730,2,8,700,0.226,2514,3611,708,22,0,0.1329
26,1775879054,848,1,3,848,0.1715,80,48,846,2,0,0.2075
27,1775879084,911,3,5,910,0.2607,80,48,907,4,0,0.2294
28,1775879114,923,1,5,922,0.2582,846,48,919,4,0,0.2048
29,1775879144,919,1,3,919,0.288,80,48,917,2,0,0.2089
30,1775879174,839,1,7,838,0.3834,507,48,833,6,0,0.1776
31,1775879204,391,1,2,383,0.1535,48,48,390,1,0,0.2839
32,1775879234,311,1,7,301,7.1515,97323,5647,298,13,0,0.5048
33,1775879264,304,2,5,303,1.5194,245,411,302,2,0,0.4967
34,1775879294,308,2,5,307,1.5331,3285,3294,304,4,0,0.4968
35,1775879324,304,2,3,304,0.4725,106,274,302,2,0,0.4967
36,1775879354,303,1,3,303,0.5384,431,48,301,2,0,0.5215
37,1775879384,299,1,2,298,0.5865,48,48,298,1,0,0.5518
38,1775879414,2143,3,5,1060,0.1713,3083,5787,2134,6,3,0.9729
39,1775879444,145,1,2,145,0.0153,48,48,144,1,0,0.0966
40,1775879474,1533,1,9,1523,0.0366,1100,1306,1519,14,0,0.0992
41,1775879504,1559,1,3,1559,0.0298,48,48,1557,2,0,0.1046
42,1775879534,1680,1,5,1679,0.0724,814,48,1676,4,0,0.1042
